ac002d2,ac002d3,ac002d1,mergeid
0.0,1.0,0.0,AT-405752-01
0.0,0.0,0.0,AT-407726-01
0.0,1.0,0.0,AT-407989-01
0.0,1.0,0.0,AT-407989-02
0.0,0.0,0.0,AT-409764-01
0.0,0.0,0.0,AT-409764-02
0.0,0.0,0.0,AT-410709-01
0.0,1.0,0.0,AT-412817-01
0.0,1.0,0.0,AT-412817-02
0.0,0.0,0.0,AT-414575-01
0.0,0.0,0.0,AT-415168-01
0.0,0.0,0.0,AT-415168-02
0.0,0.0,0.0,AT-415321-01
0.0,1.0,0.0,AT-416438-01
0.0,0.0,0.0,AT-416507-01
0.0,1.0,0.0,AT-416525-01
0.0,0.0,0.0,AT-416665-01
0.0,0.0,0.0,AT-417359-01
0.0,0.0,0.0,AT-418773-01
0.0,0.0,0.0,AT-419946-01
0.0,0.0,0.0,AT-422846-01
0.0,0.0,0.0,AT-423104-01
0.0,0.0,0.0,AT-423561-01
0.0,1.0,0.0,AT-423561-02
0.0,0.0,0.0,AT-424178-01
0.0,0.0,0.0,AT-425402-01
0.0,0.0,0.0,AT-425402-02
0.0,1.0,0.0,AT-425504-01
0.0,0.0,0.0,AT-425614-01
0.0,0.0,0.0,AT-427092-01
